 |  | Despesas Pré-operacionais
 |  |  | Guimarânia | 899118.8699966884 | 66835.91999913973 | 41455.99634231653 | 106454.10569400722 | 62993.5715861734 | 0 | 0 | 0 | 0 | 0 | 0 | 365562.6416173917 | 0 | 0 | 0 | 0 | 0 | 0 | 62993.5715861734 | 0 | 0 | 66835.91999913973 | 0 | 0 | 62993.5715861734 | 0 | 0 | 0 | 0 | 0 | 62993.5715861734
 |  |  | Lagoa Formosa | 1952721.1177776742 | 145155.3479340279 | 90034.8132126886 | 231198.7738212969 | 136810.47259192044 | 0 | 0 | 0 | 0 | 0 | 0 | 793934.9445079509 | 0 | 0 | 0 | 0 | 0 | 0 | 136810.47259192044 | 0 | 0 | 145155.3479340279 | 0 | 0 | 136810.47259192044 | 0 | 0 | 0 | 0 | 0 | 136810.47259192044
 |  |  | Patos de Minas | 21616281.256688915 | 1606844.314986165 | 996669.6358125388 | 2559329.9911717167 | 1514468.004408701 | 0 | 0 | 0 | 0 | 0 | 0 | 8788720.982097521 | 0 | 0 | 0 | 0 | 0 | 0 | 1514468.004408701 | 0 | 0 | 1606844.314986165 | 0 | 0 | 1514468.004408701 | 0 | 0 | 0 | 0 | 0 | 1514468.004408701
 |  |  | Presidente Olegário | 1765088.7589767522 | 131207.7134881904 | 81383.58072306252 | 208983.42986407044 | 123664.67750249921 | 0 | 0 | 0 | 0 | 0 | 0 | 717647.6114032415 | 0 | 0 | 0 | 0 | 0 | 0 | 123664.67750249921 | 0 | 0 | 131207.7134881904 | 0 | 0 | 123664.67750249921 | 0 | 0 | 0 | 0 | 0 | 123664.67750249921
 |  |  | Rio Paranaíba | 1608087.9802535062 | 119537.07478099904 | 74144.68948667271 | 190394.81155122438 | 112664.97532338221 | 0 | 0 | 0 | 0 | 0 | 0 | 653814.4283600819 | 0 | 0 | 0 | 0 | 0 | 0 | 112664.97532338221 | 0 | 0 | 119537.07478099904 | 0 | 0 | 112664.97532338221 | 0 | 0 | 0 | 0 | 0 | 112664.97532338221
 |  |  | Serra do Salitre | 1319491.1626069446 | 98084.25640526754 | 60838.25246705583 | 156225.45179925484 | 92445.46386765284 | 0 | 0 | 0 | 0 | 0 | 0 | 536477.0900594874 | 0 | 0 | 0 | 0 | 0 | 0 | 92445.46386765284 | 0 | 0 | 98084.25640526754 | 0 | 0 | 92445.46386765284 | 0 | 0 | 0 | 0 | 0 | 92445.46386765284
 |  | Inclusão Catador |  | 2392998.340000001 | 1015670.3800000001 | 0 | 0 | 0 | 69509.20000000001 | 0 | 0 | 0 | 0 | 549645.5800000001 | 0 | 0 | 0 | 0 | 69509.20000000001 | 0 | 0 | 0 | 0 | 549645.5800000001 | 0 | 0 | 0 | 0 | 69509.20000000001 | 0 | 0 | 0 | 0 | 69509.20000000001
 |  |  | Arapuá | 16337.414595430746 | 6934.157794007786 | 0 | 0 | 0 | 474.5513607822707 | 0 | 0 | 0 | 0 | 3752.525679146939 | 0 | 0 | 0 | 0 | 474.5513607822707 | 0 | 0 | 0 | 0 | 3752.525679146939 | 0 | 0 | 0 | 0 | 474.5513607822707 | 0 | 0 | 0 | 0 | 474.5513607822707
 |  |  | Coromandel | 206907.5059863712 | 87818.62557833196 | 0 | 0 | 0 | 6010.023063830406 | 0 | 0 | 0 | 0 | 47524.39407635882 | 0 | 0 | 0 | 0 | 6010.023063830406 | 0 | 0 | 0 | 0 | 47524.39407635882 | 0 | 0 | 0 | 0 | 6010.023063830406 | 0 | 0 | 0 | 0 | 6010.023063830406
 |  |  | Cruzeiro da Fortaleza | 24786.217674647116 | 10520.118925101951 | 0 | 0 | 0 | 719.9629572624699 | 0 | 0 | 0 | 0 | 5693.1234602476425 | 0 | 0 | 0 | 0 | 719.9629572624699 | 0 | 0 | 0 | 0 | 5693.1234602476425 | 0 | 0 | 0 | 0 | 719.9629572624699 | 0 | 0 | 0 | 0 | 719.9629572624699
