 | Municípios |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Patos de Minas |  |  |  | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Presidente Olegário |  |  |  | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Rio Paranaíba |  | 0.046 | 0.074 | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Serra do Salitre |  |  |  | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Coleta Seletiva - Estimativa de Coleta (t/ano)
 | Municípios |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Arapuá |  | 0 | 0 | 41.199917064000005 | 40.963317234 | 40.726717404 | 53.07488384700001 | 52.68204286800001 | 52.289201889000005 | 51.896360910000006 | 59.998945899 | 59.589478985999996 | 59.059580628000006 | 58.52968227000001 | 66.212142696 | 65.607214482 | 65.029783005 | 64.397358054 | 63.76493310300001 | 63.13250815200001 | 62.500083201 | 61.812664776000005 | 61.18023982500001 | 60.547814874000004 | 59.915389923000006 | 59.28296497200001 | 58.65054002100001 | 58.01811507 | 57.385690119 | 56.753265168 | 56.120840217
 | Coromandel |  | 303.109402824 | 487.88522499399994 | 488.15967153199995 | 488.4341180699999 | 488.70856460799996 | 641.006540547 | 640.054267782 | 639.101995017 | 638.1497222520001 | 742.302183423 | 741.1928347379999 | 739.0480939469999 | 736.903353156 | 838.795230045 | 836.3468091420001 | 833.8421027009999 | 830.3242565759999 | 826.8064104509999 | 823.2885643259999 | 819.7707182009999 | 816.2810148449998 | 812.7631687199998 | 809.2453225949998 | 805.7274764699998 | 802.2096303449998 | 798.6917842199998 | 795.1739380949998 | 791.6560919699998 | 788.1382458449998 | 784.6203997199999
 | Cruzeiro da Fortaleza |  | 0 | 0 | 57.635718588 | 57.69881187599999 | 57.761905164000005 | 75.83898478800002 | 75.818308947 | 75.797633106 | 75.77695726500001 | 88.25216289600002 | 88.17990402900001 | 87.98721371700002 | 87.794523405 | 100.005632469 | 99.78565857300002 | 99.59318141400001 | 99.26322057000002 | 98.93325972600002 | 98.603298882 | 98.273338038 | 97.943377194 | 97.61341635000001 | 97.283455506 | 96.95349466200001 | 96.623533818 | 96.293572974 | 95.96361213 | 95.633651286 | 95.30369044199999 | 94.973729598
 | Guimarânia |  | 0 | 0 | 139.951891572 | 141.224319204 | 142.49674683599997 | 188.43433206 | 189.883826922 | 191.333321784 | 192.78281664600001 | 226.270630932 | 227.936086404 | 229.27770331200003 | 230.61932022000002 | 264.804963624 | 266.336543988 | 267.92093746800003 | 269.030012904 | 270.13908834 | 271.248163776 | 272.357239212 | 273.41350153200005 | 274.522576968 | 275.631652404 | 276.74072784000003 | 277.849803276 | 278.95887871200006 | 280.067954148 | 281.177029584 | 282.28610502000004 | 283.395180456
